"If, however, the occupational stereotype is used to infer something about the persons working on the job, then these individuals should be judged as less likely to change into another job, the further away the comparison job moves from their original job.",1
"Speciﬁcally, we were interested in whether groupmembership plays a role in how people spontaneously reference others'mental states.",1
"The presence of an alternative option will produce a competing, covert influence on participants.",1
we predicted that | motivation for collective action among disadvantaged-group members would be negatively affected by salient commoningroup but not by salient dual identity,0
we expected that participants experiencing causal uncertainty would show higher rates of task resumption when the interrupted task was associated with more abstract (vs. concrete) thinking,0
"we expected that the traditional relationship between certainty and stability (i.e., greater certainty corresponding to greater stability) would be especially the case as ambivalence decreased",0
We predicted that that exposure to facial anger (vs. joy) would reduce participants' self-esteem but only when faces displayed direct-gaze,0
we predicted that sex-differentiation accuracy would be stronger for East Asian than Caucasian participants,0
"In the experimental condition, higher RMA leads to earlier fixation of the expected schematic stimulus (the bottle of wine and wine glasses).",0
"If faces are prioritized for memory based on independent inﬂuences of social cues, we would expect to find only main effects, the cross-race effect (CRE) and direct-gaze memory biases previously reported in the literature. However, if faces are prioritized for memory on the basis of integrated social relevance, as predicted here, such main effects should be qualified by an interaction",0
We expected that variation in implicit partner affect (IPA) would be positively linked with self-reported relationship satisfaction (RS),0
"For White faces, we were reasonably certain that participants would see anger appear sooner and linger longer and happiness appear later and disappear sooner on an old compared to a young face, in line with research showing biases against White older adults.",1
We found an interaction between the valence frame (success vs. failure) and the response scale (lack of current money management stress vs. expected future financial security).,0
"As hypothesized, we observed that leftists in Europe were more likely than rightists to have bought a product or refrained from buying a product for political reasons, even after adjusting for the effects of income, education, sex, race, age, and political party identification",1
"The wage rate participants are willing to accept in Study 3 is affected by both the elicitation procedure (TEL - time elicitation, asking participants how long they would wait vs. MEL - money elicitation, how much money they would pay) and the time scarcity (control vs. low vs. high), such that lowering scarcity lowers TEL (not MEL). Specifically, the asymmetry appears in control and high time scarcity conditions, but diminishes when time scarcity is low.",0
Studies 2b finds that participants whose sense of self-concept clarity is compromised (by manipulating how clear or conflicted people feel about their identity) give products with bimodal distributions higher desirability ratings than products with unimodal distributions.,0
"In study 2, participants in the single-serve condition perceive the same quantity of product as more adequate than those in the multi-serve condition when processing capacity is limited",0
Adults who report receiving conditional material rewards as third grade children are more likely than others to judge success by the kinds of things people own.,0
"When consumers experience positive (vs. negative or neutral) country-related affect (CRA), they are more likely to rely on country-related product (CRP) associations when evaluating a product.",0
Participants’ decision to choose a riskier vs. safer lottery following social exclusion (vs. inclusion) is mediated by the perceived instrumentality of money to secure goals.,0
"When the diameter ratio between a target serving size of soup and the dinnerware is  smaller than 0.5 (but larger than 0, which is typical with larger dinnerware), consumers serve more than the target serving size, but when it is larger than 0.5 (but smaller than 1, which is typical with smaller dinnerware), consumers serve less than the target serving size; as the diameter ratio approaches zero or one the effect disappears because there is no longer contrast and assimilation, leading to a sinus shape over the entire range.",0
"That physical coldness increases consumers’ liking of romance movies, where physical coldness is operationalized by having participants drink an iced or a hot tea.",0
Participants in a negative (vs. positive) affective state would rate the tactile appeal of the product (skin lotion) more favorably,0
